factor,factor_iri,factor_label,cfde_disease
Dendritic Cells and T Cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0ac65229c3d7417574fb,Dendritic Cells and T Cells (trait context: Severe autoimmune type 2 diabetes),Severe autoimmune type 2 diabetes
Dendritic spine proteins,https://purl.org/okn/frink/kg/digcfdekg/node/factor/19d8a76e8109b1b17bbc,Dendritic spine proteins (trait context: major depressive disorder),major depressive disorder
Dermatan Sulfate Degradation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/30214a6c99d3d0423ec0,Dermatan Sulfate Degradation (trait context: Lysosomal disease),Lysosomal disease
Descartes fetal lymphoid cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a92bfba2eae8d710b6f1,Descartes fetal lymphoid cells (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Developmental abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d91bb3ef3b55909ad102,Developmental abnormalities (trait context: Type 2 diabetes with peripheral circulatory manifestations),Type 2 diabetes with peripheral circulatory manifestations
Developmental Abnormalities and TP53 Methylation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f0c73a1f9c3d8d800e2a,Developmental Abnormalities and TP53 Methylation (trait context: prostate carcinoma),prostate carcinoma
Developmental and metabolic abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/374b48208ae199ddd9f1,Developmental and metabolic abnormalities (trait context: type 2 diabetes mellitus),type 2 diabetes mellitus
Developmental and Metabolic Cardiac Traits,https://purl.org/okn/frink/kg/digcfdekg/node/factor/fb8536a322c81709174e,Developmental and Metabolic Cardiac Traits (trait context: Rare cardiomyopathy),Rare cardiomyopathy
Developmental morphogenesis and limbs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ca6f2915d0982cffd02b,Developmental morphogenesis and limbs (trait context: Membranous nephropathy),Membranous nephropathy
Developmental pigmentation and glycosylation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a17ce2aa577a451b5b8a,Developmental pigmentation and glycosylation (trait context: Any cancer),Any cancer
Developmental signaling in multiple tissues,https://purl.org/okn/frink/kg/digcfdekg/node/factor/08ef21658bfa3684aa10,Developmental signaling in multiple tissues (trait context: Type 1 diabetes with ophthalmic manifestations),Type 1 diabetes with ophthalmic manifestations
Diabetes and IGF1 signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/13a8cc3a117ae5916894,Diabetes and IGF1 signaling (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Diabetes and insulin regulation genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/da0a99b4012c2678c7d4,Diabetes and insulin regulation genes (trait context: Type 2 diabetes (with no history of pregnancy)),Type 2 diabetes (with no history of pregnancy)
Diabetes and pancreatic function genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/48e65c4385df6d52245a,Diabetes and pancreatic function genes (trait context: Type 2 diabetes (with no history of pregnancy)),Type 2 diabetes (with no history of pregnancy)
Diabetes autoimmunity and B markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/120f2ecd93e6a63b4bdc,Diabetes autoimmunity and B markers (trait context: Childhood-onset asthma),Childhood-onset asthma
Diabetes risk with beta-catenin signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7269f57a2e4dbb1ec7ad,Diabetes risk with beta-catenin signaling (trait context: Type 2 diabetes (with history of pregnancy)),Type 2 diabetes (with history of pregnancy)
Diabetes with beta-cell hyperplasia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6cd6f7fec7691e4bff76,Diabetes with beta-cell hyperplasia (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Diabetes with impaired insulin secretion,https://purl.org/okn/frink/kg/digcfdekg/node/factor/82e9b3112bf18e336c02,Diabetes with impaired insulin secretion (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Diabetes-related pancreatic islet defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3d4bb181c1fff54c8b66,Diabetes-related pancreatic islet defects (trait context: type 2 diabetes mellitus),type 2 diabetes mellitus
Diaphragm morphology abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1b430bfe8c679a6f57d0,Diaphragm morphology abnormalities (trait context: Dilated cardiomyopathy; broad definition),Dilated cardiomyopathy; broad definition
Dicarboxylic and Organic Acid Catabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8a20ebac659ff0b8e416,Dicarboxylic and Organic Acid Catabolism (trait context: Organic aciduria),Organic aciduria
Digestive and skeletal development genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b63fef47ea17e40aa8cb,Digestive and skeletal development genes (trait context: Type 1 diabetes with neurological manifestations),Type 1 diabetes with neurological manifestations
Digestive Development and Intestinal Morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e488e555bf97f04c92aa,Digestive Development and Intestinal Morphology (trait context: colorectal cancer),colorectal cancer
Digestive tract and craniofacial development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ea82f4b89b71f4bcd084,Digestive tract and craniofacial development (trait context: Hyperaldosteronism),Hyperaldosteronism
Digestive tract and epithelial morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/66d06c22ddce1daf3556,Digestive tract and epithelial morphogenesis (trait context: Hyperaldosteronism),Hyperaldosteronism
Digestive tract and gland development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6ef687508e794dcc4f57,Digestive tract and gland development (trait context: Type 1 diabetes with ketoacidosis),Type 1 diabetes with ketoacidosis
Digit patterning and limb anomalies,https://purl.org/okn/frink/kg/digcfdekg/node/factor/96bb84d86c8d77238d50,Digit patterning and limb anomalies (trait context: Carpal tunnel syndrome),Carpal tunnel syndrome
Dilated Cardiomyopathy,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7ee399b34f9598b657d3,Dilated Cardiomyopathy (trait context: Dilated cardiomyopathy; strict definition),Dilated cardiomyopathy; strict definition
Diminished progenitors across lineages,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6903ec7bb505273fa1d9,Diminished progenitors across lineages (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Disordered myocardium and muscle proteins,https://purl.org/okn/frink/kg/digcfdekg/node/factor/97869e269ef014d4a6a8,Disordered myocardium and muscle proteins (trait context: Interatrial communication),Interatrial communication
DNA Damage and Apoptosis Regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a27272ca9b9d742fe00e,DNA Damage and Apoptosis Regulation (trait context: cancer),cancer
DNA damage and p53 cycle,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1f4f052934cba27f0c60,DNA damage and p53 cycle (trait context: clear cell renal carcinoma),clear cell renal carcinoma
DNA damage and p53 network,https://purl.org/okn/frink/kg/digcfdekg/node/factor/dafcc97c9de1ad7d5f67,DNA damage and p53 network (trait context: clear cell renal carcinoma),clear cell renal carcinoma
DNA damage and p53 signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/fff6a206ef188d554551,DNA damage and p53 signaling (trait context: renal carcinoma),renal carcinoma
DNA damage miRNA and cancer,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0e5f8cff6b7b9604bb2e,DNA damage miRNA and cancer (trait context: clear cell renal carcinoma),clear cell renal carcinoma
DNA damage miRNAs and hematopoiesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b4aa70ff0d9d91f738bb,DNA damage miRNAs and hematopoiesis (trait context: Lymphoma),Lymphoma
DNA damage response and cancer,https://purl.org/okn/frink/kg/digcfdekg/node/factor/df2b4ba53c43dd2b9a0f,DNA damage response and cancer (trait context: Diabetic retinopathy),Diabetic retinopathy
DNA damage response and p53,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b8d68268144ee2115c2a,DNA damage response and p53 (trait context: renal carcinoma),renal carcinoma
"DNA damage response miRNAs, kinases",https://purl.org/okn/frink/kg/digcfdekg/node/factor/a140286463e1bb8100e0,"DNA damage response miRNAs, kinases (trait context: Lymphoma)",Lymphoma
DNA Damage Response Pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/67090ad740e8274d0e6d,DNA Damage Response Pathways (trait context: Hereditary breast and/or ovarian cancer syndrome),Hereditary breast and/or ovarian cancer syndrome
"DNA damage response, tumor incidence",https://purl.org/okn/frink/kg/digcfdekg/node/factor/339047c716a9a36ad520,"DNA damage response, tumor incidence (trait context: Lymphoma)",Lymphoma
"DNA damage, RB1 defects, AR",https://purl.org/okn/frink/kg/digcfdekg/node/factor/8b361a498d26dc48e689,"DNA damage, RB1 defects, AR (trait context: clear cell renal carcinoma)",clear cell renal carcinoma
DNA Helicase and Replication,https://purl.org/okn/frink/kg/digcfdekg/node/factor/59d8ff819d958cf00aa8,DNA Helicase and Replication (trait context: Hereditary breast and/or ovarian cancer syndrome),Hereditary breast and/or ovarian cancer syndrome
DNA Repair,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d19008544aa1e8451e3e,DNA Repair (trait context: Hereditary breast and/or ovarian cancer syndrome),Hereditary breast and/or ovarian cancer syndrome
Dopamine-related gene changes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f25de1bb66a55812ed1a,Dopamine-related gene changes (trait context: Membranous nephropathy),Membranous nephropathy
Downregulated signaling and cytoskeleton,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7a28069e754ca203ff03,Downregulated signaling and cytoskeleton (trait context: Dilated cardiomyopathy; broad definition),Dilated cardiomyopathy; broad definition
Downregulated signaling components,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e4ca743ce53c1be756b7,Downregulated signaling components (trait context: Chronic obstructive pulmonary disease (COPD)),Chronic obstructive pulmonary disease (COPD)
Downregulated tissue coexpression genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d5b13441e4fe5e6313ee,Downregulated tissue coexpression genes (trait context: multiple sclerosis),multiple sclerosis
DSB Repair and Telomeres,https://purl.org/okn/frink/kg/digcfdekg/node/factor/db97f10cf139e92b9643,DSB Repair and Telomeres (trait context: Hereditary breast and/or ovarian cancer syndrome),Hereditary breast and/or ovarian cancer syndrome
Dyslipidemia and fatty acid signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0e6869b8496b6eabd129,Dyslipidemia and fatty acid signaling (trait context: type 2 diabetes mellitus),type 2 diabetes mellitus
Dystrophic muscle and cardiomyopathy,https://purl.org/okn/frink/kg/digcfdekg/node/factor/74aaf8ae865e0fe169dc,Dystrophic muscle and cardiomyopathy (trait context: Muscular dystrophy),Muscular dystrophy
Dystrophic muscle and fibrosis genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/529e358c97f62072c71f,Dystrophic muscle and fibrosis genes (trait context: Muscular dystrophy),Muscular dystrophy
Dystrophic muscle and related genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3f730fb47a677fe2693e,Dystrophic muscle and related genes (trait context: Muscular dystrophy),Muscular dystrophy
Dystrophic muscles and related genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4e750bea6d38826753b2,Dystrophic muscles and related genes (trait context: Muscular dystrophy),Muscular dystrophy
Ear Development and Embryonic Morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/30aea71f63e9db2c920c,Ear Development and Embryonic Morphogenesis (trait context: Severe insulin-resistant type 2 diabetes),Severe insulin-resistant type 2 diabetes
EBV-transformed B cell markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e8cf71b8bc19d53b0b9b,EBV-transformed B cell markers (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
EBV-transformed lymphocytes and adipose,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1071dca69f1e7091c8da,EBV-transformed lymphocytes and adipose (trait context: primary biliary cirrhosis),primary biliary cirrhosis
EBV-transformed lymphocytes coexpression IRF genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c15aecbc327a4fb166dd,EBV-transformed lymphocytes coexpression IRF genes (trait context: systemic lupus erythematosus),systemic lupus erythematosus
EBV-transformed lymphocytes gene expression,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cda07388bcdf953f9d01,EBV-transformed lymphocytes gene expression (trait context: multiple sclerosis),multiple sclerosis
EBV-transformed lymphocytes interferon signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5304d120ba80c6b35462,EBV-transformed lymphocytes interferon signaling (trait context: systemic lupus erythematosus),systemic lupus erythematosus
EBV-Transformed Lymphocytes Upregulated,https://purl.org/okn/frink/kg/digcfdekg/node/factor/afcd294567a46cc04b94,EBV-Transformed Lymphocytes Upregulated (trait context: Atopic dermatitis),Atopic dermatitis
EGFR and RAS signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e58778cc9a30a140bdc4,EGFR and RAS signaling (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
EGFR RAS MAPK Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4e7498fccda2170ad89b,EGFR RAS MAPK Signaling (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
EGFR resistance and development genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/83da1fb27a23f862d617,EGFR resistance and development genes (trait context: Type 2 diabetes with renal manifestations),Type 2 diabetes with renal manifestations
EGFR signaling and RAS cascade,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b05201d4fafee282dcde,EGFR signaling and RAS cascade (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
EGFR/PDGFR and Ras-PI3K signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a499aef86bfbe327deb9,EGFR/PDGFR and Ras-PI3K signaling (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
EGFRVIII and FGFR4 signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d0e01ade5fcff0b03136,EGFRVIII and FGFR4 signaling (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
EGFRVIII and RTK signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/66e1b6c658d56dfe1d4b,EGFRVIII and RTK signaling (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
Elevated B cells and plasma,https://purl.org/okn/frink/kg/digcfdekg/node/factor/18805d7f5b4e2c501dc1,Elevated B cells and plasma (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Elevated immunoglobulins and B cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2b9d87d35fe52a33e9cf,Elevated immunoglobulins and B cells (trait context: psoriatic arthritis),psoriatic arthritis
Embryo lethality and growth genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f06dc48b0878a5300b76,Embryo lethality and growth genes (trait context: Type 1 diabetes with neurological manifestations),Type 1 diabetes with neurological manifestations
Embryonic development and skeletal morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/60d4d968ccd1348ecc17,Embryonic development and skeletal morphology (trait context: Any cancer),Any cancer
Embryonic development signaling pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c601c6d64aebb4f24519,Embryonic development signaling pathways (trait context: Hyperaldosteronism),Hyperaldosteronism
Embryonic Heart Tube Morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/95e4ddf79e13595c52a2,Embryonic Heart Tube Morphogenesis (trait context: Situs inversus totalis),Situs inversus totalis
Embryonic lethality and cancer pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bd7e40a2bf078ccaf93e,Embryonic lethality and cancer pathways (trait context: Chronic obstructive pulmonary disease (COPD)),Chronic obstructive pulmonary disease (COPD)
Embryonic limb and digit morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c7f1201b9514ff3ef257,Embryonic limb and digit morphogenesis (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
Embryonic limb and heart morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/91759ef385fdc2c7293f,Embryonic limb and heart morphogenesis (trait context: Chronic obstructive pulmonary disease (COPD)),Chronic obstructive pulmonary disease (COPD)
Embryonic Limb and Mammary Development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e3fd71a284e947a20e3d,Embryonic Limb and Mammary Development (trait context: Breast cancer),Breast cancer
Embryonic limb morphogenesis genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5bd7824e83a3046debcf,Embryonic limb morphogenesis genes (trait context: Carpal tunnel syndrome),Carpal tunnel syndrome
Embryonic patterning and vascular morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cc1bdd105fce23debefb,Embryonic patterning and vascular morphogenesis (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
EMT and ECM interactions,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7cc8173a9fd219c903a9,EMT and ECM interactions (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
EMT and osteoblast differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/024bd78e1788ed03256d,EMT and osteoblast differentiation (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
Endocardial cushions and digit morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7e45f5ab7108ee90c5a1,Endocardial cushions and digit morphogenesis (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
Endocardial cushions and EMT regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e95836661172924c78aa,Endocardial cushions and EMT regulation (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
Endocardial cushions and SMAD signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/08757ffedca27f2bc8fd,Endocardial cushions and SMAD signaling (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
Endocrine and cardiac development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ef3c91ec30cf78fd3724,Endocrine and cardiac development (trait context: Chronic obstructive pulmonary disease (COPD)),Chronic obstructive pulmonary disease (COPD)
Endocrine development and hormone regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6adea76bb0f23d90209d,Endocrine development and hormone regulation (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Endocrine development with heart defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ace86040e3fa425134f6,Endocrine development with heart defects (trait context: Congenital hypothyroidism),Congenital hypothyroidism
Endocrine traits and signaling genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e36e44f716a779bd091f,Endocrine traits and signaling genes (trait context: Polycystic ovary syndrome; age-adjusted),Polycystic ovary syndrome; age-adjusted
Endometrial and B-cell signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5de6b8d4b16ae0c890b5,Endometrial and B-cell signaling (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
Endothelial and vascular development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e291f027730578e9cdee,Endothelial and vascular development (trait context: Type 2 diabetes with ketoacidosis),Type 2 diabetes with ketoacidosis
Endothelial migration and proliferation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0e116b72b66352606f49,Endothelial migration and proliferation (trait context: Hyperaldosteronism),Hyperaldosteronism
Enhanced glucose tolerance and sensitivity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7006987d3436015f4240,Enhanced glucose tolerance and sensitivity (trait context: Type 2 diabetes (additive model)),Type 2 diabetes (additive model)
Enhanced glucose tolerance and sensitivity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0a035e6d8212a2846f22,Enhanced glucose tolerance and sensitivity (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Enteric nervous system development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9b6e4341bde192128f8a,Enteric nervous system development (trait context: Hirschsprung disease),Hirschsprung disease
Enteric neural crest development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/55033f162b5dea85c85a,Enteric neural crest development (trait context: Hirschsprung disease),Hirschsprung disease
Enterocyte and Hepatic Sterol Metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a71d9d76cdd3202bea5c,Enterocyte and Hepatic Sterol Metabolism (trait context: Disorder of lipid metabolism),Disorder of lipid metabolism
Envelope Proteins and Cardiac Development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f8ecd60c68b626d4f369,Envelope Proteins and Cardiac Development (trait context: Rare cardiomyopathy),Rare cardiomyopathy
Environmental stress response genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/65e9cd518490519d780a,Environmental stress response genes (trait context: chronic obstructive pulmonary disease),chronic obstructive pulmonary disease
Epithelial Adhesion Program,https://purl.org/okn/frink/kg/digcfdekg/node/factor/50c8614dbb0751ad6525,Epithelial Adhesion Program (trait context: Squamous cell carcinoma of the esophagus),Squamous cell carcinoma of the esophagus
Epithelial morphogenesis and branching,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ea7c299e6cffe3bee602,Epithelial morphogenesis and branching (trait context: chronic obstructive pulmonary disease),chronic obstructive pulmonary disease
ER luminal membrane HLA proteins,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5f0f1423cc2d0f66b583,ER luminal membrane HLA proteins (trait context: systemic lupus erythematosus),systemic lupus erythematosus
ERG and photoreceptor abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/58e551a4c375c82d7208,ERG and photoreceptor abnormalities (trait context: Retinitis pigmentosa),Retinitis pigmentosa
Erythroblast and AML markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e115a3d472115ba7528a,Erythroblast and AML markers (trait context: Porphyria),Porphyria
Erythroblast genes in blood,https://purl.org/okn/frink/kg/digcfdekg/node/factor/65bc971d56407a022cab,Erythroblast genes in blood (trait context: Porphyria),Porphyria
Erythroblast heme metabolism signature,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ca49d42dcc941a64733b,Erythroblast heme metabolism signature (trait context: Porphyria),Porphyria
Erythroblast markers across tissues,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d114a9c2b201ce41df34,Erythroblast markers across tissues (trait context: Porphyria),Porphyria
Erythroblast markers in fetal organs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/23c31a6a62f7cdf1d4a1,Erythroblast markers in fetal organs (trait context: Porphyria),Porphyria
Erythrocyte morphology and anemia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a2718436621e3ff12ba8,Erythrocyte morphology and anemia (trait context: Porphyria),Porphyria
Erythroid and heme pathway genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6d07cf106ebdda074997,Erythroid and heme pathway genes (trait context: Porphyria),Porphyria
Erythroid Expression Program,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ce4a3cc058d464e2cfef,Erythroid Expression Program (trait context: Sideroblastic anemia),Sideroblastic anemia
Erythroid lineage genes signature,https://purl.org/okn/frink/kg/digcfdekg/node/factor/41577854865840aa4733,Erythroid lineage genes signature (trait context: Porphyria),Porphyria
Erythroid markers across tissues,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6c178ab391593f5003c4,Erythroid markers across tissues (trait context: Porphyria),Porphyria
Erythroid/heme metabolism core,https://purl.org/okn/frink/kg/digcfdekg/node/factor/814a758c811b9b5280c6,Erythroid/heme metabolism core (trait context: Porphyria),Porphyria
Esophagus Expression Shifts With Age,https://purl.org/okn/frink/kg/digcfdekg/node/factor/80acd48bb360bfd5881a,Esophagus Expression Shifts With Age (trait context: Cystic fibrosis),Cystic fibrosis
Ether Lipid Biosynthesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/00ab7fcae3abcd9ee3ec,Ether Lipid Biosynthesis (trait context: Chronic primary adrenal insufficiency),Chronic primary adrenal insufficiency
Excitation Contraction Coupling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ed7c162ea6a292d35e7d,Excitation Contraction Coupling (trait context: Dilated cardiomyopathy; strict definition),Dilated cardiomyopathy; strict definition
Exogenous Antigen Processing and Presentation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0e00ca024b5737ebb9bd,Exogenous Antigen Processing and Presentation (trait context: Severe autoimmune type 2 diabetes),Severe autoimmune type 2 diabetes
Exosome inhibition and RAS signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e8a827ea6e714c130951,Exosome inhibition and RAS signaling (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
Expanded B cell subsets; splenomegaly,https://purl.org/okn/frink/kg/digcfdekg/node/factor/01975e3405f784488b79,Expanded B cell subsets; splenomegaly (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
Expansion of immune cell numbers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9e792767dd1e1cbeeb63,Expansion of immune cell numbers (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
Extracellular matrix and vasculature genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/15d9c65eb06eda4ab3c4,Extracellular matrix and vasculature genes (trait context: Carpal tunnel syndrome),Carpal tunnel syndrome
Eye and ear pigmentation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/29d7f7d65ac8d8a6f34f,Eye and ear pigmentation (trait context: Any cancer),Any cancer
Eye and sensory organ development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ab2bc2e8f7afc5f1510e,Eye and sensory organ development (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
Eye anterior segment development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/873fc4f181c2641f13ec,Eye anterior segment development (trait context: open-angle glaucoma),open-angle glaucoma
Eye development and retina,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5ac404cde4f4cb8cb39e,Eye development and retina (trait context: Type 2 diabetes with ketoacidosis),Type 2 diabetes with ketoacidosis
Eye pigmentation and coat color,https://purl.org/okn/frink/kg/digcfdekg/node/factor/fe546a2cb290f506bd12,Eye pigmentation and coat color (trait context: Any cancer),Any cancer
Fanconi and DNA damage response,https://purl.org/okn/frink/kg/digcfdekg/node/factor/63b81267e8c6427174d4,Fanconi and DNA damage response (trait context: Rare aplastic anemia),Rare aplastic anemia
Fanconi DNA Repair Pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/efeeb9f783a04bdcd090,Fanconi DNA Repair Pathways (trait context: Rare aplastic anemia),Rare aplastic anemia
Fatty Acid and Lipid Metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/452ad76fab85cd2e2ed7,Fatty Acid and Lipid Metabolism (trait context: Organic aciduria),Organic aciduria
Fatty Acid Metabolism and Synthesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6848df5e3e4b64d09efd,Fatty Acid Metabolism and Synthesis (trait context: Disorder of lipid metabolism),Disorder of lipid metabolism
Fatty acid oxidation and mitochondria,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8f2b8641da649ac011d5,Fatty acid oxidation and mitochondria (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
Fatty Acid Oxidation Metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e86ba8e1a1dca087172e,Fatty Acid Oxidation Metabolism (trait context: Organic aciduria),Organic aciduria
FBL renal tubule epithelial cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ab3ca66c4d9f6a39b572,FBL renal tubule epithelial cells (trait context: Rare aplastic anemia),Rare aplastic anemia
Female fertility hormone signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4547ca00691c3ac30cfe,Female fertility hormone signaling (trait context: Polycystic ovary syndrome; age-adjusted),Polycystic ovary syndrome; age-adjusted
Fetal adrenal steroid metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3c9e4ecf045550cb3928,Fetal adrenal steroid metabolism (trait context: Congenital adrenal hyperplasia),Congenital adrenal hyperplasia
